,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
1274,Crystal Maiden,Underlord,Windranger,Wraith King,Timbersaw,Tiny,Chen,Pugna,Alchemist,Doom,Tinker,Batrider,Techies,Bounty Hunter,Skywrath Mage,Rubick,Storm Spirit,Monkey King,Pangolier,Terrorblade,Slark,Naga Siren,Medusa,Keeper of the Light,9Pandas vs Tundra Esports,ESL One Berlin Major 2023 
1275,Medusa,Bounty Hunter,Venomancer,Naga Siren,Rubick,Sand King,Slark,Batrider,Nyx Assassin,Skywrath Mage,Legion Commander,Tinker,Underlord,Dark Seer,Anti-Mage,Alchemist,Storm Spirit,Omniknight,Tiny,Pangolier,Beastmaster,Enchantress,Keeper of the Light,Doom,9Pandas vs Tundra Esports,ESL One Berlin Major 2023 
1276,Crystal Maiden,Underlord,Terrorblade,Venomancer,Windranger,Tinker,Monkey King,Enchantress,Batrider,Bounty Hunter,Storm Spirit,Pugna,Dark Seer,Ursa,Chen,Doom,Alchemist,Void Spirit,Pangolier,Phantom Lancer,Slark,Naga Siren,Medusa,Keeper of the Light,9Pandas vs Tundra Esports,ESL One Berlin Major 2023 
1277,Rubick,Underlord,Disruptor,Ember Spirit,Templar Assassin,Tiny,Bloodseeker,Skywrath Mage,Enchantress,Bounty Hunter,Death Prophet,Tinker,Beastmaster,Ursa,Monkey King,Doom,Alchemist,Phantom Lancer,Muerta,Crystal Maiden,Naga Siren,Terrorblade,Medusa,Keeper of the Light,Gaimin Gladiators vs 9Pandas,ESL One Berlin Major 2023 
1278,Underlord,Terrorblade,Silencer,Techies,Tiny,Invoker,Monkey King,Skywrath Mage,Crystal Maiden,Bounty Hunter,Storm Spirit,Puck,Bloodseeker,Dark Seer,Tinker,Rubick,Alchemist,Ember Spirit,Void Spirit,Pangolier,Keeper of the Light,Disruptor,Medusa,Doom,Gaimin Gladiators vs 9Pandas,ESL One Berlin Major 2023 
1279,Keeper of the Light,Alchemist,Crystal Maiden,Axe,Windranger,Void Spirit,Ursa,Grimstroke,Doom,Disruptor,Viper,Riki,Bloodseeker,Slark,Terrorblade,Rubick,Beastmaster,Templar Assassin,Queen of Pain,Underlord,Ember Spirit,Shadow Fiend,Storm Spirit,Medusa,Team Spirit vs Team Aster,ESL One Berlin Major 2023 
1280,Rubick,Underlord,Enchantress,Phantom Lancer,Queen of Pain,Windranger,Crystal Maiden,Doom,Alchemist,Keeper of the Light,Leshrac,Ember Spirit,Pangolier,Axe,Shadow Fiend,Medusa,Storm Spirit,Batrider,Tiny,Bloodseeker,Terrorblade,Slark,Riki,Viper,Team Spirit vs Team Aster,ESL One Berlin Major 2023 
1281,Doom,Lich,Lion,Ember Spirit,Drow Ranger,Magnus,Enchantress,Pangolier,Terrorblade,Keeper of the Light,Centaur Warrunner,Axe,Underlord,Void Spirit,Bloodseeker,Medusa,Beastmaster,Ursa,Sven,Slark,Dark Seer,Muerta,Storm Spirit,Alchemist,Team Liquid vs Xtreme Gaming,ESL One Berlin Major 2023 
1282,Keeper of the Light,Monkey King,Void Spirit,Oracle,Necrophos,Puck,Bloodseeker,Bounty Hunter,Lich,Underlord,Templar Assassin,Dragon Knight,Slark,Storm Spirit,Terrorblade,Doom,Alchemist,Brewmaster,Tidehunter,Rubick,Ember Spirit,Pangolier,Medusa,Beastmaster,Team Liquid vs Xtreme Gaming,ESL One Berlin Major 2023 
1283,Keeper of the Light,Ember Spirit,Dragon Knight,Mirana,Luna,Marci,Tidehunter,Lion,Storm Spirit,Pugna,Drow Ranger,Ursa,Terrorblade,Slark,Underlord,Alchemist,Doom,Muerta,Sven,Monkey King,Silencer,Anti-Mage,Medusa,Beastmaster,Team Liquid vs Xtreme Gaming,ESL One Berlin Major 2023 
1284,Underlord,Pugna,Disruptor,Slark,Mirana,Void Spirit,Techies,Oracle,Monkey King,Beastmaster,Ember Spirit,Bloodseeker,Enchantress,Pangolier,Rubick,Medusa,Keeper of the Light,Shadow Fiend,Queen of Pain,Crystal Maiden,Windranger,Terrorblade,Alchemist,Storm Spirit,Team Aster vs Team Liquid,ESL One Berlin Major 2023 
1285,Alchemist,Lich,Disruptor,Underlord,Queen of Pain,Bounty Hunter,Crystal Maiden,Axe,Terrorblade,Keeper of the Light,Pangolier,Void Spirit,Enchantress,Windranger,Ember Spirit,Storm Spirit,Medusa,Primal Beast,Batrider,Dark Seer,Monkey King,Phantom Lancer,Doom,Beastmaster,Team Aster vs Team Liquid,ESL One Berlin Major 2023 
1286,Doom,Lich,Mirana,Ember Spirit,Ursa,Brewmaster,Naga Siren,Crystal Maiden,Void Spirit,Keeper of the Light,Dark Seer,Underlord,Batrider,Venomancer,Terrorblade,Bounty Hunter,Medusa,Sven,Bloodseeker,Storm Spirit,Pangolier,Monkey King,Beastmaster,Alchemist,Tundra Esports vs Team Liquid,ESL One Berlin Major 2023 
1287,Enchantress,Keeper of the Light,Ursa,Dragon Knight,Axe,Bloodseeker,Silencer,Storm Spirit,Techies,Beastmaster,Phantom Lancer,Sven,Oracle,Monkey King,Pangolier,Medusa,Doom,Tidehunter,Dark Seer,Underlord,Ember Spirit,Terrorblade,Alchemist,Bounty Hunter,Tundra Esports vs Team Liquid,ESL One Berlin Major 2023 
1288,Rubick,Underlord,Void Spirit,Oracle,Sven,Tidehunter,Shadow Fiend,Bounty Hunter,Crystal Maiden,Monkey King,Timbersaw,Brewmaster,Bloodseeker,Slark,Doom,Alchemist,Keeper of the Light,Muerta,Terrorblade,Pangolier,Enchantress,Phoenix,Storm Spirit,Medusa,Shopify Rebellion vs Evil Geniuses,ESL One Berlin Major 2023 
1289,Rubick,Alchemist,Disruptor,Legion Commander,Centaur Warrunner,Troll Warlord,Techies,Ember Spirit,Doom,Crystal Maiden,Lone Druid,Ursa,Pangolier,Muerta,Terrorblade,Storm Spirit,Medusa,Tidehunter,Brewmaster,Bloodseeker,Shadow Fiend,Underlord,Keeper of the Light,Monkey King,Shopify Rebellion vs Evil Geniuses,ESL One Berlin Major 2023 
1290,Alchemist,Skywrath Mage,Brewmaster,Abaddon,Tinker,Magnus,Disruptor,Dragon Knight,Terrorblade,Keeper of the Light,Monkey King,Doom,Batrider,Pugna,Void Spirit,Medusa,Underlord,Muerta,Drow Ranger,Storm Spirit,Naga Siren,Dark Seer,Ancient Apparition,Beastmaster,PSG.LGD vs Talon Esports,ESL One Berlin Major 2023 
1291,Underlord,Techies,Disruptor,Naga Siren,Venomancer,Timbersaw,Ogre Magi,Sven,Magnus,Keeper of the Light,Dark Seer,Leshrac,Pangolier,Monkey King,Ursa,Medusa,Beastmaster,Storm Spirit,Void Spirit,Terrorblade,Batrider,Slark,Alchemist,Pugna,PSG.LGD vs Talon Esports,ESL One Berlin Major 2023 
1292,Keeper of the Light,Terrorblade,Pugna,Void Spirit,Magnus,Faceless Void,Batrider,Lich,Rubick,Underlord,Slark,Phantom Lancer,Bloodseeker,Naga Siren,Dark Seer,Ancient Apparition,Monkey King,Legion Commander,Oracle,Pangolier,Beastmaster,Enchantress,Alchemist,Medusa,Evil Geniuses vs Talon Esports,ESL One Berlin Major 2023 
1293,Keeper of the Light,Dragon Knight,Beastmaster,Crystal Maiden,Anti-Mage,Snapfire,Slark,Bounty Hunter,Storm Spirit,Pugna,Legion Commander,Tidehunter,Faceless Void,Terrorblade,Batrider,Ancient Apparition,Underlord,Naga Siren,Bloodseeker,Disruptor,Skywrath Mage,Silencer,Alchemist,Medusa,Evil Geniuses vs Talon Esports,ESL One Berlin Major 2023 
1294,Keeper of the Light,Anti-Mage,Crystal Maiden,Naga Siren,Venomancer,Void Spirit,Ursa,Slardar,Bounty Hunter,Medusa,Kunkka,Invoker,Beastmaster,Pangolier,Legion Commander,Disruptor,Underlord,Batrider,Tusk,Lich,Dark Seer,Enchantress,Storm Spirit,Alchemist,OG vs Evil Geniuses,ESL One Berlin Major 2023 
1295,Disruptor,Batrider,Earth Spirit,Windranger,Phantom Lancer,Bloodseeker,Queen of Pain,Silencer,Monkey King,Keeper of the Light,Faceless Void,Lifestealer,Naga Siren,Oracle,Slark,Alchemist,Underlord,Void Spirit,Kunkka,Beastmaster,Phoenix,Pangolier,Doom,Medusa,OG vs Evil Geniuses,ESL One Berlin Major 2023 
1296,Disruptor,Windranger,Beastmaster,Crystal Maiden,Faceless Void,Doom,Kunkka,Bounty Hunter,Monkey King,Keeper of the Light,Bloodseeker,Timbersaw,Slark,Dark Seer,Naga Siren,Alchemist,Underlord,Terrorblade,Ursa,Phantom Lancer,Earth Spirit,Phoenix,Batrider,Medusa,OG vs Evil Geniuses,ESL One Berlin Major 2023 
1297,Alchemist,Doom,Silencer,Oracle,Ember Spirit,Centaur Warrunner,Ursa,Pugna,Rubick,Underlord,Storm Spirit,Shadow Fiend,Slark,Terrorblade,Bloodseeker,Monkey King,Bounty Hunter,Void Spirit,Phantom Lancer,Disruptor,Keeper of the Light,Pangolier,Beastmaster,Medusa,Team Liquid vs Evil Geniuses,ESL One Berlin Major 2023 
1298,Storm Spirit,Pugna,Crystal Maiden,Morphling,Underlord,Luna,Mirana,Oracle,Ember Spirit,Beastmaster,Phantom Lancer,Anti-Mage,Disruptor,Keeper of the Light,Silencer,Alchemist,Medusa,Tidehunter,Timbersaw,Doom,Slark,Terrorblade,Monkey King,Bounty Hunter,Team Liquid vs Evil Geniuses,ESL One Berlin Major 2023 
1299,Monkey King,Oracle,Terrorblade,Tidehunter,Leshrac,Queen of Pain,Techies,Phantom Lancer,Chen,Beastmaster,Void Spirit,Puck,Tinker,Tiny,Storm Spirit,Alchemist,Doom,Ember Spirit,Pangolier,Naga Siren,Dark Seer,Underlord,Medusa,Keeper of the Light,9Pandas vs Team Liquid,ESL One Berlin Major 2023 
1300,Bounty Hunter,Terrorblade,Oracle,Batrider,Storm Spirit,Shadow Demon,Pangolier,Skywrath Mage,Medusa,Alchemist,Clockwerk,Disruptor,Underlord,Crystal Maiden,Silencer,Keeper of the Light,Doom,Tinker,Queen of Pain,Enchantress,Techies,Dark Seer,Beastmaster,Chen,9Pandas vs Team Liquid,ESL One Berlin Major 2023 
1301,Alchemist,Ancient Apparition,Io,Lone Druid,Witch Doctor,Elder Titan,Storm Spirit,Skywrath Mage,Terrorblade,Doom,Silencer,Oracle,Enchantress,Bounty Hunter,Techies,Chen,Beastmaster,Legion Commander,Batrider,Underlord,Dark Seer,Pangolier,Keeper of the Light,Medusa,9Pandas vs Team Liquid,ESL One Berlin Major 2023 
1302,Keeper of the Light,Terrorblade,Pangolier,Crystal Maiden,Magnus,Pudge,Queen of Pain,Silencer,Dark Seer,Alchemist,Monkey King,Earth Spirit,Storm Spirit,Clockwerk,Bounty Hunter,Doom,Medusa,Bloodseeker,Tidehunter,Ember Spirit,Oracle,Enchantress,Underlord,Beastmaster,Gaimin Gladiators vs Team Liquid,ESL One Berlin Major 2023 
1303,Keeper of the Light,Pangolier,Crystal Maiden,Monkey King,Bounty Hunter,Faceless Void,Lich,Techies,Ember Spirit,Doom,Ursa,Sven,Bloodseeker,Skywrath Mage,Mirana,Alchemist,Medusa,Venomancer,Magnus,Underlord,Slark,Enchantress,Beastmaster,Terrorblade,Gaimin Gladiators vs Team Liquid,ESL One Berlin Major 2023 
1304,Keeper of the Light,Alchemist,Oracle,Underlord,Puck,Ursa,Techies,Void Spirit,Ancient Apparition,Doom,Bloodseeker,Slark,Faceless Void,Storm Spirit,Sven,Monkey King,Medusa,Outworld Destroyer,Templar Assassin,Pangolier,Ember Spirit,Enchantress,Beastmaster,Terrorblade,Gaimin Gladiators vs Team Liquid,ESL One Berlin Major 2023 
1305,Doom,Lich,Skywrath Mage,Bloodseeker,Windranger,Techies,Leshrac,Io,Underlord,Alchemist,Oracle,Disruptor,Mirana,Enchantress,Pangolier,Terrorblade,Medusa,Ember Spirit,Void Spirit,Slark,Monkey King,Rubick,Keeper of the Light,Beastmaster,Gaimin Gladiators vs Team Liquid,ESL One Berlin Major 2023 
1306,Doom,Enchantress,Windranger,Puck,Pudge,Skywrath Mage,Nyx Assassin,Phantom Lancer,Monkey King,Chen,Death Prophet,Ember Spirit,Hoodwink,Earth Spirit,Dragon Knight,Pangolier,Riki,Alchemist,Naga Siren,Bounty Hunter,Muerta,Batrider,Io,Mirana,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1307,Chen,Muerta,Dark Willow,Void Spirit,Necrophos,Templar Assassin,Terrorblade,Disruptor,Doom,Enchantress,Batrider,Ember Spirit,Pangolier,Naga Siren,Phantom Lancer,Mirana,Io,Primal Beast,Underlord,Nyx Assassin,Bounty Hunter,Dragon Knight,Monkey King,Riki,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1308,Chen,Death Prophet,Ursa,Earth Spirit,Underlord,Skywrath Mage,Chaos Knight,Phoenix,Bounty Hunter,Doom,Zeus,Riki,Phantom Lancer,Terrorblade,Naga Siren,Pangolier,Mirana,Huskar,Puck,Legion Commander,Beastmaster,Lycan,Batrider,Enchantress,Shopify Rebellion vs Tundra Esports,DreamLeague Season 19 
1309,Disruptor,Naga Siren,Techies,Doom,Monkey King,Alchemist,Earth Spirit,Puck,Legion Commander,Mirana,Shadow Fiend,Lone Druid,Leshrac,Lion,Batrider,Chen,Enchantress,Void Spirit,Dragon Knight,Pangolier,Riki,Beastmaster,Bounty Hunter,Io,Shopify Rebellion vs Tundra Esports,DreamLeague Season 19 
1310,Techies,Bounty Hunter,Legion Commander,Terrorblade,Abaddon,Muerta,Spirit Breaker,Enigma,Batrider,Mirana,Slark,Morphling,Beastmaster,Underlord,Earth Spirit,Chen,Enchantress,Dark Seer,Lycan,Phantom Lancer,Tidehunter,Queen of Pain,Naga Siren,Doom,Shopify Rebellion vs Tundra Esports,DreamLeague Season 19 
1311,Enchantress,Dragon Knight,Rubick,Ursa,Centaur Warrunner,Morphling,Riki,Underlord,Death Prophet,Chen,Naga Siren,Terrorblade,Clockwerk,Muerta,Phantom Lancer,Earth Spirit,Batrider,Outworld Destroyer,Dark Seer,Monkey King,Pangolier,Mirana,Doom,Io,Gaimin Gladiators vs Shopify Rebellion,DreamLeague Season 19 
1312,Chen,Earth Spirit,Keeper of the Light,Anti-Mage,Enigma,Bristleback,Lone Druid,Clockwerk,Leshrac,Io,Legion Commander,Bloodseeker,Witch Doctor,Centaur Warrunner,Underlord,Enchantress,Doom,Death Prophet,Venomancer,Invoker,Terrorblade,Drow Ranger,Muerta,Batrider,Gaimin Gladiators vs Shopify Rebellion,DreamLeague Season 19 
1313,Chen,Doom,Puck,Snapfire,Slark,Lich,Timbersaw,Primal Beast,Muerta,Crystal Maiden,Skywrath Mage,Venomancer,Ember Spirit,Underlord,Undying,Mirana,Monkey King,Bloodseeker,Ursa,Clockwerk,Disruptor,Rubick,Io,Enchantress,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1314,Chen,Rubick,Necrophos,Sven,Underlord,Sniper,Terrorblade,Undying,Dragon Knight,Mirana,Venomancer,Timbersaw,Slark,Phantom Lancer,Disruptor,Enchantress,Io,Dark Seer,Primal Beast,Shadow Fiend,Muerta,Batrider,Doom,Monkey King,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1315,Underlord,Rubick,Disruptor,Puck,Muerta,Riki,Phoenix,Pangolier,Slark,Chen,Lycan,Beastmaster,Death Prophet,Dark Willow,Skywrath Mage,Doom,Monkey King,Terrorblade,Ursa,Outworld Destroyer,Phantom Lancer,Bloodseeker,Io,Enchantress,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1316,Rubick,Storm Spirit,Underlord,Crystal Maiden,Sven,Centaur Warrunner,Dark Willow,Queen of Pain,Monkey King,Disruptor,Venomancer,Beastmaster,Ember Spirit,Puck,Dragon Knight,Io,Enchantress,Ursa,Muerta,Skywrath Mage,Phantom Lancer,Riki,Chen,Doom,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1317,Doom,Crystal Maiden,Skywrath Mage,Slark,Templar Assassin,Shadow Fiend,Bristleback,Keeper of the Light,Hoodwink,Underlord,Death Prophet,Storm Spirit,Terrorblade,Sven,Phantom Lancer,Rubick,Chen,Viper,Batrider,Outworld Destroyer,Disruptor,Puck,Io,Enchantress,Team Liquid vs Gaimin Gladiators,DreamLeague Season 19 
1318,Nature's Prophet,Pangolier,Rubick,Doom,Snapfire,Primal Beast,Terrorblade,Dawnbreaker,Clockwerk,Enchantress,Storm Spirit,Batrider,Puck,Bloodseeker,Ember Spirit,Undying,Disruptor,Morphling,Naga Siren,Monkey King,Mirana,Tusk,Beastmaster,Broodmother,Gaimin Gladiators vs Shopify Rebellion,DreamLeague Season 19 
1319,Undying,Batrider,Visage,Earth Spirit,Lone Druid,Storm Spirit,Anti-Mage,Rubick,Doom,Disruptor,Puck,Ember Spirit,Pangolier,Naga Siren,Queen of Pain,Enchantress,Beastmaster,Shadow Fiend,Terrorblade,Shadow Demon,Lycan,Drow Ranger,Nature's Prophet,Broodmother,Gaimin Gladiators vs Shopify Rebellion,DreamLeague Season 19 
1320,Disruptor,Nature's Prophet,Tusk,Naga Siren,Keeper of the Light,Lion,Chaos Knight,Jakiro,Primal Beast,Death Prophet,Tidehunter,Dark Seer,Pangolier,Batrider,Undying,Broodmother,Timbersaw,Invoker,Zeus,Bloodseeker,Clockwerk,Tiny,Beastmaster,Lycan,Evil Geniuses vs TSM,DreamLeague Season 19 
1321,Snapfire,Clockwerk,Primal Beast,Terrorblade,Windranger,Dark Seer,Crystal Maiden,Anti-Mage,Rubick,Death Prophet,Storm Spirit,Pangolier,Ember Spirit,Disruptor,Beastmaster,Lycan,Broodmother,Kunkka,Slardar,Drow Ranger,Naga Siren,Bloodseeker,Riki,Timbersaw,Evil Geniuses vs TSM,DreamLeague Season 19 
1322,Disruptor,Timbersaw,Clockwerk,Storm Spirit,Monkey King,Puck,Death Prophet,Dragon Knight,Rubick,Broodmother,Hoodwink,Skywrath Mage,Jakiro,Batrider,Outworld Destroyer,Techies,Doom,Ursa,Terrorblade,Naga Siren,Anti-Mage,Slark,Nature's Prophet,Enchantress,ex-HellRaisers vs Team Aster,DreamLeague Season 19 
1323,Rubick,Nature's Prophet,Jakiro,Death Prophet,Tinker,Terrorblade,Elder Titan,Ember Spirit,Hoodwink,Doom,Anti-Mage,Troll Warlord,Monkey King,Storm Spirit,Slark,Enchantress,Broodmother,Beastmaster,Ursa,Batrider,Puck,Clockwerk,Techies,Disruptor,ex-HellRaisers vs Team Aster,DreamLeague Season 19 
1324,Visage,Earthshaker,Mirana,Puck,Faceless Void,Dawnbreaker,Enchantress,Terrorblade,Pangolier,Luna,Dragon Knight,Doom,Nature's Prophet,Kunkka,Beastmaster,Broodmother,Marci,Naga Siren,Drow Ranger,Batrider,Bloodseeker,Invoker,Disruptor,Rubick,Execration vs Entity,DreamLeague Season 19 
1325,Keeper of the Light,Tiny,Rubick,Storm Spirit,Meepo,Skywrath Mage,Clockwerk,Templar Assassin,Pangolier,Mirana,Brewmaster,Dark Seer,Undying,Anti-Mage,Faceless Void,Disruptor,Broodmother,Terrorblade,Naga Siren,Batrider,Ember Spirit,Bloodseeker,Beastmaster,Marci,Execration vs Entity,DreamLeague Season 19 
1326,Nature's Prophet,Clockwerk,Oracle,Puck,Spectre,Templar Assassin,Io,Marci,Batrider,Leshrac,Nyx Assassin,Anti-Mage,Tiny,Snapfire,Riki,Broodmother,Death Prophet,Morphling,Bloodseeker,Faceless Void,Slark,Drow Ranger,Disruptor,Enchantress,Team Aster vs Evil Geniuses,DreamLeague Season 19 
1327,Disruptor,Storm Spirit,Beastmaster,Snapfire,Terrorblade,Shadow Fiend,Night Stalker,Jakiro,Batrider,Riki,Ember Spirit,Dark Seer,Timbersaw,Templar Assassin,Puck,Death Prophet,Leshrac,Naga Siren,Bloodseeker,Faceless Void,Drow Ranger,Slark,Broodmother,Enchantress,Team Aster vs Evil Geniuses,DreamLeague Season 19 
1328,Undying,Nature's Prophet,Invoker,Nyx Assassin,Doom,Marci,Lycan,Storm Spirit,Pugna,Mirana,Terrorblade,Monkey King,Dragon Knight,Beastmaster,Naga Siren,Rubick,Disruptor,Shadow Fiend,Dark Seer,Anti-Mage,Huskar,Puck,Batrider,Broodmother,Entity vs Shopify Rebellion,DreamLeague Season 19 
1329,Nature's Prophet,Undying,Invoker,Earth Spirit,Shadow Fiend,Snapfire,Anti-Mage,Storm Spirit,Pugna,Mirana,Dark Seer,Lycan,Beastmaster,Dragon Knight,Naga Siren,Rubick,Disruptor,Drow Ranger,Lone Druid,Nyx Assassin,Puck,Huskar,Broodmother,Batrider,Entity vs Shopify Rebellion,DreamLeague Season 19 
1330,Beastmaster,Mirana,Undying,Kunkka,Shadow Fiend,Dark Seer,Pangolier,Snapfire,Night Stalker,Enchantress,Death Prophet,Primal Beast,Rubick,Terrorblade,Io,Broodmother,Naga Siren,Anti-Mage,Ursa,Monkey King,Bloodseeker,Templar Assassin,Visage,Marci,TSM vs Execration,DreamLeague Season 19 
1331,Luna,Visage,Dawnbreaker,Ember Spirit,Tusk,Abaddon,Huskar,Warlock,Rubick,Beastmaster,Monkey King,Pangolier,Batrider,Terrorblade,Naga Siren,Undying,Disruptor,Bloodseeker,Ancient Apparition,Shadow Fiend,Tiny,Sniper,Marci,Broodmother,TSM vs Execration,DreamLeague Season 19 
1332,Nature's Prophet,Beastmaster,Snapfire,Treant Protector,Storm Spirit,Death Prophet,Terrorblade,Bounty Hunter,Enigma,Disruptor,Queen of Pain,Leshrac,Ember Spirit,Tiny,Enchantress,Doom,Dragon Knight,Zeus,Puck,Io,Silencer,Rubick,Pangolier,Broodmother,Gaimin Gladiators vs Ex-HellRaisers (page does not exist),DreamLeague Season 19 
1333,Enigma,Disruptor,Tusk,Anti-Mage,Timbersaw,Riki,Hoodwink,Enchantress,Beastmaster,Nature's Prophet,Ember Spirit,Kunkka,Silencer,Rubick,Io,Pangolier,Broodmother,Huskar,Death Prophet,Naga Siren,Terrorblade,Bounty Hunter,Doom,Dragon Knight,Gaimin Gladiators vs Ex-HellRaisers (page does not exist),DreamLeague Season 19 
1334,Enchantress,Dragon Knight,Snapfire,Enigma,Zeus,Timbersaw,Bane,Morphling,Mirana,Death Prophet,Batrider,Monkey King,Drow Ranger,Bloodseeker,Undying,Nature's Prophet,Broodmother,Riki,Anti-Mage,Pangolier,Rubick,Lycan,Beastmaster,Doom,Tundra Esports vs Team Liquid,DreamLeague Season 19 
1335,Undying,Beastmaster,Troll Warlord,Rubick,Invoker,Sniper,Pugna,Monkey King,Disruptor,Doom,Templar Assassin,Bloodseeker,Naga Siren,Night Stalker,Pudge,Death Prophet,Nature's Prophet,Riki,Pangolier,Chaos Knight,Dragon Knight,Anti-Mage,Enchantress,Broodmother,Tundra Esports vs Team Liquid,DreamLeague Season 19 
1336,Disruptor,Pangolier,Dark Willow,Bloodseeker,Batrider,Ember Spirit,Omniknight,Skywrath Mage,Templar Assassin,Broodmother,Puck,Monkey King,Tiny,Rubick,Undying,Nature's Prophet,Io,Dragon Knight,Viper,Alchemist,Terrorblade,Naga Siren,Enchantress,Snapfire,Talon Esports vs Beastcoast,DreamLeague Season 19 
1337,Tiny,Leshrac,Silencer,Naga Siren,Earthshaker,Ember Spirit,Rubick,Elder Titan,Terrorblade,Nature's Prophet,Puck,Storm Spirit,Undying,Pangolier,Clockwerk,Broodmother,Io,Timbersaw,Batrider,Primal Beast,Zeus,Dark Seer,Enchantress,Snapfire,Talon Esports vs Beastcoast,DreamLeague Season 19 
1338,Rubick,Anti-Mage,Lich,Primal Beast,Dragon Knight,Tusk,Phoenix,Templar Assassin,Hoodwink,Broodmother,Tiny,Riki,Lone Druid,Ursa,Drow Ranger,Undying,Io,Death Prophet,Puck,Ember Spirit,Pangolier,Disruptor,Nature's Prophet,Beastmaster,nouns vs Team Spirit,DreamLeague Season 19 
1339,Beastmaster,Disruptor,Undying,Monkey King,Tiny,Storm Spirit,Tusk,Drow Ranger,Doom,Rubick,Death Prophet,Leshrac,Snapfire,Pangolier,Ember Spirit,Dragon Knight,Enchantress,Riki,Zeus,Ursa,Slark,Lone Druid,Io,Broodmother,nouns vs Team Spirit,DreamLeague Season 19 
1340,Enchantress,Dragon Knight,Elder Titan,Morphling,Dark Seer,Tinker,Dark Willow,Tidehunter,Slark,Disruptor,Batrider,Invoker,Pangolier,Marci,Rubick,Beastmaster,Broodmother,Zeus,Puck,Enigma,Bloodseeker,Anti-Mage,Doom,Nature's Prophet,OG vs Nigma Galaxy,DreamLeague Season 19 
1341,Beastmaster,Techies,Monkey King,Sven,Templar Assassin,Ember Spirit,Primal Beast,Io,Anti-Mage,Disruptor,Zeus,Storm Spirit,Dragon Knight,Lycan,Enchantress,Nature's Prophet,Broodmother,Puck,Invoker,Drow Ranger,Ursa,Lone Druid,Rubick,Doom,OG vs Nigma Galaxy,DreamLeague Season 19 
1342,Io,Storm Spirit,Monkey King,Doom,Bloodseeker,Luna,Mirana,Dragon Knight,Disruptor,Nature's Prophet,Kunkka,Morphling,Nyx Assassin,Ember Spirit,Puck,Death Prophet,Broodmother,Terrorblade,Enigma,Templar Assassin,Tusk,Clockwerk,Primal Beast,Tiny,Team Liquid vs Talon Esports,DreamLeague Season 19 
1343,Enchantress,Doom,Clockwerk,Dragon Knight,Spectre,Drow Ranger,Storm Spirit,Tusk,Mirana,Nature's Prophet,Luna,Timbersaw,Pangolier,Morphling,Disruptor,Death Prophet,Broodmother,Naga Siren,Terrorblade,Templar Assassin,Puck,Ember Spirit,Tiny,Primal Beast,Team Liquid vs Talon Esports,DreamLeague Season 19 
1344,Clockwerk,Mirana,Snapfire,Slark,Storm Spirit,Bloodseeker,Dragon Knight,Hoodwink,Beastmaster,Enchantress,Faceless Void,Riki,Pangolier,Naga Siren,Chaos Knight,Doom,Broodmother,Legion Commander,Batrider,Terrorblade,Morphling,Drow Ranger,Rubick,Anti-Mage,Tundra Esports vs Team Spirit,DreamLeague Season 19 
1345,Undying,Snapfire,Clockwerk,Phantom Assassin,Dark Seer,Tidehunter,Dragon Knight,Mirana,Beastmaster,Enchantress,Slark,Ursa,Pangolier,Naga Siren,Chaos Knight,Doom,Broodmother,Outworld Destroyer,Batrider,Terrorblade,Morphling,Drow Ranger,Rubick,Anti-Mage,Tundra Esports vs Team Spirit,DreamLeague Season 19 
1346,Tiny,Phoenix,Dawnbreaker,Alchemist,Clockwerk,Bloodseeker,Rubick,Earthshaker,Beastmaster,Enchantress,Lifestealer,Ursa,Death Prophet,Ember Spirit,Morphling,Nature's Prophet,Broodmother,Tinker,Batrider,Abaddon,Naga Siren,Pangolier,Leshrac,Snapfire,Nigma Galaxy vs Beastcoast,DreamLeague Season 19 
1347,Doom,Disruptor,Clockwerk,Morphling,Death Prophet,Necrophos,Wraith King,Witch Doctor,Tusk,Leshrac,Batrider,Kunkka,Bloodseeker,Abaddon,Phoenix,Tiny,Snapfire,Beastmaster,Invoker,Anti-Mage,Undying,Ember Spirit,Nature's Prophet,Broodmother,Nigma Galaxy vs Beastcoast,DreamLeague Season 19 
1348,Tiny,Mirana,Chaos Knight,Morphling,Witch Doctor,Slark,Ember Spirit,Techies,Doom,Disruptor,Ursa,Anti-Mage,Marci,Dark Willow,Drow Ranger,Broodmother,Beastmaster,Death Prophet,Enigma,Monkey King,Lone Druid,Undying,Rubick,Io,OG vs Nouns,DreamLeague Season 19 
